2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:25 remove libtalloc1:powerpc 1.2.0~git20080616-1 <none>
2012-07-07 07:38:25 purge libtalloc1:powerpc 1.2.0~git20080616-1 <none>
2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:25 status config-files libtalloc1:powerpc 1.2.0~git20080616-1
2012-07-07 07:38:26 status not-installed libtalloc1:powerpc <none>
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 remove libxapian15:powerpc 1.0.7-4 <none>
2012-07-07 07:38:26 purge libxapian15:powerpc 1.0.7-4 <none>
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 status config-files libxapian15:powerpc 1.0.7-4
2012-07-07 07:38:26 status not-installed libxapian15:powerpc <none>
2012-07-07 07:38:26 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:26 remove portmap:powerpc 6.0.0-2 <none>
2012-07-07 07:38:26 purge portmap:powerpc 6.0.0-2 <none>
2012-07-07 07:38:26 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:26 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:26 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:34 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:34 status config-files portmap:powerpc 6.0.0-2
2012-07-07 07:38:34 status not-installed portmap:powerpc <none>
2012-07-07 07:38:34 status config-files python-central:all 0.6.17
2012-07-07 07:38:34 remove python-central:all 0.6.17 <none>
2012-07-07 07:38:34 purge python-central:all 0.6.17 <none>
2012-07-07 07:38:34 status config-files python-central:all 0.6.17
2012-07-07 07:38:34 status config-files python-central:all 0.6.17
2012-07-07 07:38:34 status config-files python-central:all 0.6.17
2012-07-07 07:38:34 status config-files python-central:all 0.6.17
2012-07-07 07:38:35 status config-files python-central:all 0.6.17
2012-07-07 07:38:35 status not-installed python-central:all <none>
2012-07-07 07:41:35 startup packages purge
